learning rate;discount factor;initial q-hat value;score;states visited;failed trials
0.05;0.25;0;0.2681924882629108;0.033854166666666664;0.8
0.05;0.25;1;1.6378048780487804;0.1015625;0.0
0.05;0.25;2;1.4733009708737863;0.10677083333333333;0.03333333333333333
0.05;0.25;3;1.1581920903954803;0.14322916666666666;0.23333333333333334
0.05;0.25;4;0.9719864176570459;0.14583333333333334;0.26666666666666666
0.05;0.25;5;0.7312312312312312;0.16666666666666666;0.3333333333333333
0.05;0.25;6;0.5915977961432507;0.15885416666666666;0.5333333333333333
0.05;0.25;7;0.5993006993006993;0.1484375;0.4666666666666667
0.05;0.25;8;0.3798017348203222;0.171875;0.6666666666666666
0.05;0.25;9;0.4338138925294889;0.17708333333333334;0.6
0.05;0.5;0;0.6716917922948074;0.033854166666666664;0.36666666666666664
0.05;0.5;1;1.76657824933687;0.10416666666666667;0.03333333333333333
0.05;0.5;2;1.6563218390804597;0.13020833333333334;0.0
0.05;0.5;3;1.469387755102041;0.11979166666666667;0.06666666666666667
0.05;0.5;4;1.4073660714285714;0.11197916666666667;0.06666666666666667
0.05;0.5;5;1.3016359918200409;0.13802083333333334;0.06666666666666667
0.05;0.5;6;1.0125448028673836;0.13541666666666666;0.23333333333333334
0.05;0.5;7;0.6888714733542319;0.13541666666666666;0.4
0.05;0.5;8;0.6015406162464986;0.140625;0.4666666666666667
0.05;0.5;9;0.5;0.14322916666666666;0.5666666666666667
0.05;0.75;0;0.7799479166666666;0.049479166666666664;0.6
0.05;0.75;1;1.5271084337349397;0.1171875;0.16666666666666666
0.05;0.75;2;1.6597701149425288;0.1171875;0.13333333333333333
0.05;0.75;3;1.4481327800829875;0.109375;0.16666666666666666
0.05;0.75;4;1.496975806451613;0.11458333333333333;0.13333333333333333
0.05;0.75;5;1.5430839002267573;0.12760416666666666;0.03333333333333333
0.05;0.75;6;1.399390243902439;0.13020833333333334;0.06666666666666667
0.05;0.75;7;1.4616935483870968;0.1015625;0.1
0.05;0.75;8;1.2446601941747573;0.15885416666666666;0.13333333333333333
0.05;0.75;9;1.0844709897610922;0.11979166666666667;0.23333333333333334
0.1;0.25;0;0.24606299212598426;0.0234375;0.7333333333333333
0.1;0.25;1;1.447136563876652;0.1328125;0.03333333333333333
0.1;0.25;2;1.2722960151802656;0.140625;0.13333333333333333
0.1;0.25;3;1.2950367647058822;0.13541666666666666;0.06666666666666667
0.1;0.25;4;1.1778398510242085;0.109375;0.13333333333333333
0.1;0.25;5;1.0042301184433164;0.13802083333333334;0.26666666666666666
0.1;0.25;6;0.9071661237785016;0.14322916666666666;0.3
0.1;0.25;7;0.7682403433476395;0.171875;0.4
0.1;0.25;8;0.7425106990014265;0.17708333333333334;0.43333333333333335
0.1;0.25;9;0.6833568406205924;0.15625;0.4
